,Period,EB-1,EB-2,EB-3,EB-4,EB-5
0,2017 - April,139.0,178.0,495.0,154.0,901.0
1,2017 - August,224.0,48.0,703.0,158.0,897.0
2,2017 - December,530.0,240.0,1117.0,84.0,1285.0
3,2017 - July,212.0,268.0,599.0,218.0,631.0
4,2017 - June,168.0,307.0,574.0,137.0,691.0
5,2017 - March,195.0,242.0,660.0,190.0,969.0
6,2017 - May,258.0,260.0,602.0,152.0,685.0
7,2017 - November,449.0,264.0,557.0,138.0,969.0
8,2017 - October,687.0,360.0,706.0,196.0,860.0
9,2017 - September,136.0,142.0,584.0,60.0,331.0
10,2018 - April,211.0,265.0,1143.0,200.0,382.0
11,2018 - August,26.0,229.0,855.0,130.0,239.0
12,2018 - December,126.0,264.0,1091.0,161.0,698.0
13,2018 - February,459.0,348.0,1210.0,89.0,489.0
14,2018 - January,442.0,304.0,1010.0,156.0,850.0
15,2018 - July,217.0,228.0,897.0,138.0,344.0
16,2018 - June,236.0,289.0,889.0,210.0,860.0
17,2018 - March,346.0,316.0,1024.0,131.0,623.0
18,2018 - May,243.0,266.0,1006.0,247.0,337.0
19,2018 - November,146.0,322.0,1239.0,150.0,314.0
20,2018 - October,111.0,338.0,1279.0,171.0,665.0
21,2018 - September,8.0,10.0,333.0,99.0,569.0
22,2019 - April,199.0,276.0,1152.0,242.0,1398.0
23,2019 - August,29.0,81.0,126.0,70.0,488.0
24,2019 - December,283.0,342.0,1214.0,200.0,454.0
25,2019 - February,233.0,291.0,1255.0,184.0,545.0
26,2019 - January,221.0,321.0,1426.0,167.0,172.0
27,2019 - July,342.0,389.0,1608.0,218.0,694.0
28,2019 - June,288.0,412.0,1413.0,193.0,1022.0
29,2019 - March,230.0,339.0,1312.0,149.0,231.0
30,2019 - May,258.0,303.0,1104.0,180.0,967.0
31,2019 - November,227.0,387.0,1470.0,203.0,520.0
32,2019 - October,166.0,506.0,2375.0,465.0,304.0
33,2019 - September,38.0,158.0,9.0,,684.0
